Date,Spot,Futures
Feb-02,1106.73,1106.9
Mar-02,1147.39,1149.2
Apr-02,1076.92,1077.2
May-02,1067.14,1067.5
Jun-02,989.82,990.1
Jul-02,911.62,911.5
Aug-02,916.07,916.1
Sep-02,815.28,815
Oct-02,885.76,885.4
Nov-02,936.31,936
Dec-02,879.82,878.9
Jan-03,855.7,854.7
Feb-03,841.15,840.9
Mar-03,848.18,847
Apr-03,916.92,916.1
May-03,963.59,963.3
Jun-03,974.5,973.3
Jul-03,990.31,989.3
Aug-03,1008.01,1007.7
Sep-03,995.97,994.1
Oct-03,1050.71,1049.5
Nov-03,1058.2,1057.8
Dec-03,1111.92,1110.6
Jan-04,1131.13,1129.9
Feb-04,1144.94,1144.6
Mar-04,1126.21,1124.9
Apr-04,1107.3,1106.1
May-04,1120.68,1120.3
Jun-04,1140.84,1140.4
Jul-04,1101.72,1101.1
Aug-04,1104.24,1104.1
Sep-04,1114.58,1114.9
Oct-04,1130.2,1130.3
Nov-04,1173.82,1174.1
Dec-04,1211.92,1213.7
Jan-05,1181.27,1181.7
Feb-05,1203.6,1204.1
Mar-05,1180.59,1183.9
Apr-05,1156.85,1158.5
May-05,1191.5,1192.3
Jun-05,1191.33,1195.5
Jul-05,1234.18,1236.8
Aug-05,1220.33,1221.4
Sep-05,1228.81,1234.3
Oct-05,1207.01,1209.8
Nov-05,1249.48,1251.1
Dec-05,1248.29,1254.8
Jan-06,1280.08,1283.6
Feb-06,1280.66,1282.4
Mar-06,1294.87,1303.3
Apr-06,1310.61,1315.9
May-06,1270.09,1272.1
Jun-06,1270.2,1279.4
Jul-06,1276.66,1281.8
Aug-06,1303.82,1305.6
Sep-06,1335.85,1345.4
Oct-06,1377.94,1383.2
Nov-06,1400.63,1402.9
Dec-06,1418.3,1428.4
Jan-07,1438.24,1443
Feb-07,1406.82,1408.9
Mar-07,1420.86,1431.2
Apr-07,1482.37,1488.4
May-07,1530.62,1532.9
Jun-07,1504.66,1515.4
Jul-07,1455.18,1461.9
Aug-07,1473.96,1476.7
Sep-07,1527.29,1538.1
Oct-07,1545.79,1554.9
Nov-07,1479.63,1483.7
Dec-07,1467.97,1477.2
Jan-08,1378.6,1379.6
Feb-08,1330.45,1331.3
Mar-08,1326.41,1324
Apr-08,1385.97,1386
May-08,1399.62,1400.6
Jun-08,1276.69,1281.1
Jul-08,1269.42,1267.1
Aug-08,1287.83,1282.6
Sep-08,1164.17,1167.4
Oct-08,968.67,967.3
Nov-08,888.61,895.3
Dec-08,902.99,900.1
Jan-09,823.09,822.5
Feb-09,729.57,734.2
Mar-09,793.59,794.8
Apr-09,872.74,870
May-09,923.26,918.1
Jun-09,920.82,915.5
Jul-09,990.22,984.4
Aug-09,1019.52,1019.7
Sep-09,1054.91,1052.9
Oct-09,1036.18,1033
Nov-09,1098.89,1094.8
Dec-09,1116.56,1110.7
Jan-10,1073.89,1070.4
Feb-10,1105.36,1103.4
Mar-10,1171.23,1165.2
Apr-10,1188.58,1183.4
May-10,1087.3,1088.5
Jun-10,1031.1,1026.6
Jul-10,1107.53,1098.3
Aug-10,1049.72,1048.3
Sep-10,1143.49,1136.7
Oct-10,1185.71,1179.7
Nov-10,1186.6,1179.6
Dec-10,1257.62,1253
Jan-11,1289.14,1282.4
Feb-11,1328.64,1326.1
Mar-11,1329.48,1321
Apr-11,1365.21,1359.7
May-11,1345.2,1343.9
Jun-11,1320.64,1315.5
Jul-11,1292.59,1288.4
Aug-11,1219.12,1217.7
Sep-11,1131.21,1126
Oct-11,1251,1249.3
Nov-11,1246.91,1246
Dec-11,1258.86,1252.6
Jan-12,1312.45,1308.2
Feb-12,1365.9,1364.4
Mar-12,1408.47,1403.2
Apr-12,1397.86,1393.6
May-12,1309.87,1309.2
Jun-12,1362.33,1356.4
Jul-12,1379.32,1374.6
Aug-12,1406.54,1405.1
Sep-12,1440.9,1434.2
Oct-12,1412.2,1406.8
Nov-12,1416.34,1414.4
Dec-12,1426.19,1420.1
Jan-13,1498.11,1493.3
Feb-13,1514.68,1513.3
Mar-13,1569.18,1562.7
Apr-13,1597.55,1592.2
